iter	Passed	Remaining
0	27	139522
1	55	139853
2	83	138683
3	109	136697
4	133	133226
5	161	134219
6	187	133925
7	216	134832
8	243	134850
9	273	136353
10	294	133694
11	320	133237
12	344	132209
13	371	132464
14	398	132368
15	423	131819
16	450	132133
17	475	131623
18	504	132325
19	529	131823
20	554	131562
21	578	130903
22	603	130610
23	629	130559
24	655	130526
25	679	130034
26	707	130224
27	735	130608
28	761	130503
29	787	130480
30	813	130326
31	840	130436
32	869	130842
33	896	130995
34	924	131106
35	950	131038
36	975	130851
37	1002	130849
38	1027	130641
39	1054	130720
40	1077	130375
41	1104	130419
42	1132	130562
43	1159	130644
44	1185	130543
45	1236	133176
46	1266	133419
47	1297	133834
48	1322	133665
49	1346	133266
50	1373	133234
51	1400	133279
52	1428	133352
53	1450	132860
54	1477	132812
55	1500	132506
56	1525	132297
57	1547	131878
58	1573	131755
59	1599	131677
60	1625	131579
61	1652	131607
62	1679	131604
63	1706	131649
64	1730	131355
65	1757	131417
66	1782	131248
67	1812	131495
68	1842	131697
69	1868	131625
70	1895	131565
71	1921	131523
72	1946	131365
73	1971	131259
74	1998	131240
75	2024	131170
76	2050	131099
77	2076	131056
78	2103	131000
79	2123	130602
80	2153	130761
81	2178	130628
82	2204	130579
83	2228	130442
84	2255	130403
85	2276	130071
86	2303	130083
87	2330	130074
88	2358	130145
89	2386	130187
90	2414	130244
91	2440	130177
92	2468	130271
93	2495	130242
94	2520	130138
95	2544	129974
96	2570	129950
97	2596	129902
98	2623	129872
99	2649	129846
100	2676	129807
101	2700	129664
102	2725	129588
103	2751	129549
104	2776	129450
105	2803	129459
106	2831	129487
107	2860	129562
108	2887	129579
109	2916	129653
110	2943	129661
111	2970	129628
112	2997	129618
113	3023	129603
114	3049	129548
115	3075	129504
116	3103	129537
117	3128	129445
118	3155	129435
119	3165	128747
120	3190	128663
121	3219	128718
122	3248	128811
123	3273	128730
124	3304	128872
125	3330	128818
126	3357	128812
127	3385	128863
128	3414	128930
129	3436	128731
130	3465	128817
131	3494	128881
132	3526	129033
133	3553	129037
134	3580	129045
135	3608	129061
136	3636	129088
137	3662	129033
138	3692	129143
139	3718	129094
140	3748	129165
141	3774	129122
142	3801	129121
143	3826	129033
144	3851	128966
145	3881	129033
146	3904	128905
147	3930	128847
148	3955	128793
149	3977	128597
150	4002	128530
151	4028	128482
152	4056	128493
153	4084	128543
154	4112	128555
155	4135	128422
156	4161	128377
157	4188	128369
158	4214	128308
159	4241	128302
160	4264	128172
161	4292	128179
162	4317	128124
163	4344	128117
164	4371	128091
165	4398	128074
166	4426	128104
167	4452	128063
168	4477	127984
169	4503	127944
170	4528	127894
171	4558	127956
172	4584	127925
173	4614	127978
174	4640	127943
175	4667	127934
176	4694	127910
177	4721	127895
178	4752	127992
179	4779	127995
180	4808	128016
181	4837	128049
182	4864	128038
183	4892	128045
184	4917	127988
185	4944	127981
186	4972	127970
187	4995	127874
188	5024	127897
189	5049	127841
190	5076	127808
191	5099	127706
192	5125	127657
193	5149	127562
194	5177	127591
195	5205	127587
196	5231	127536
197	5260	127571
198	5283	127467
199	5312	127491
200	5340	127512
201	5365	127440
202	5393	127451
203	5420	127423
204	5446	127405
205	5471	127320
206	5498	127307
207	5527	127337
208	5557	127387
209	5581	127302
210	5609	127309
211	5637	127312
212	5660	127223
213	5683	127119
214	5708	127045
215	5734	127018
216	5763	127043
217	5790	127011
218	5819	127038
219	5847	127056
220	5872	126986
221	5901	127016
222	5928	126995
223	5956	127001
224	5983	126990
225	6010	126972
226	6037	126953
227	6062	126878
228	6086	126808
229	6111	126748
230	6139	126742
231	6168	126767
232	6190	126650
233	6214	126567
234	6240	126531
235	6267	126519
236	6293	126477
237	6317	126394
238	6342	126342
239	6371	126368
240	6397	126328
241	6421	126247
242	6450	126278
243	6474	126204
244	6503	126219
245	6533	126253
246	6578	126582
247	6623	126909
248	6649	126882
249	6673	126797
250	6700	126770
251	6726	126728
252	6751	126671
253	6777	126640
254	6802	126576
255	6829	126559
256	6854	126505
257	6880	126458
258	6903	126367
259	6928	126308
260	6960	126382
261	6990	126409
262	7017	126395
263	7043	126353
264	7069	126318
265	7098	126336
266	7121	126246
267	7147	126205
268	7176	126216
269	7205	126221
270	7227	126123
271	7254	126100
272	7281	126071
273	7309	126074
274	7336	126059
275	7363	126025
276	7389	125986
277	7416	125969
278	7444	125965
279	7469	125915
280	7493	125837
281	7520	125826
282	7545	125765
283	7570	125712
284	7597	125698
285	7625	125680
286	7651	125653
287	7681	125671
288	7708	125660
289	7734	125615
290	7764	125642
291	7789	125590
292	7816	125573
293	7843	125553
294	7870	125524
295	7896	125495
296	7923	125467
297	7947	125391
298	7972	125340
299	8002	125373
300	8031	125384
301	8059	125372
302	8089	125401
303	8116	125376
304	8145	125390
305	8175	125413
306	8204	125426
307	8230	125377
308	8256	125337
309	8285	125345
310	8308	125274
311	8336	125254
312	8365	125266
313	8393	125254
314	8422	125267
315	8450	125262
316	8480	125277
317	8507	125260
318	8536	125267
319	8563	125242
320	8588	125195
321	8617	125187
322	8643	125160
323	8671	125152
324	8699	125142
325	8725	125103
326	8750	125054
327	8778	125043
328	8803	124993
329	8827	124926
330	8854	124897
331	8880	124861
332	8908	124846
333	8934	124820
334	8962	124803
335	8987	124761
336	9014	124730
337	9039	124683
338	9068	124680
339	9100	124728
340	9126	124692
341	9151	124646
342	9181	124661
343	9209	124654
344	9238	124653
345	9267	124649
346	9294	124636
347	9323	124636
348	9348	124589
349	9372	124523
350	9402	124530
351	9427	124481
352	9451	124422
353	9479	124413
354	9509	124430
355	9534	124377
356	9563	124372
357	9585	124296
358	9614	124292
359	9641	124269
360	9669	124254
361	9694	124210
362	9720	124170
363	9742	124088
364	9772	124097
365	9802	124106
366	9826	124049
367	9851	124005
368	9874	123921
369	9901	123902
370	9931	123917
371	9957	123879
372	9978	123782
373	10004	123740
374	10032	123728
375	10058	123696
376	10083	123653
377	10115	123684
378	10142	123658
379	10167	123618
380	10196	123620
381	10223	123597
382	10254	123613
383	10290	123701
384	10318	123692
385	10343	123643
386	10368	123592
387	10398	123607
388	10428	123610
389	10455	123591
390	10480	123543
391	10507	123511
392	10535	123507
393	10561	123471
394	10584	123393
395	10610	123360
396	10636	123323
397	10666	123338
398	10693	123307
399	10716	123244
400	10742	123200
401	10769	123182
402	10796	123154
403	10823	123129
404	10850	123111
405	10879	123105
406	10909	123112
407	10935	123080
408	10962	123057
409	10992	123063
410	11018	123021
411	11045	122999
412	11082	123091
413	11115	123132
414	11142	123099
415	11168	123065
416	11216	123273
417	11248	123301
418	11276	123289
419	11302	123249
420	11331	123242
421	11355	123192
422	11381	123150
423	11406	123100
424	11433	123077
425	11461	123058
426	11488	123040
427	11516	123018
428	11541	122977
429	11569	122955
430	11599	122961
431	11626	122940
432	11655	122939
433	11685	122940
434	11713	122927
435	11734	122840
436	11757	122770
437	11786	122765
438	11814	122742
439	11842	122730
440	11868	122698
441	11894	122660
442	11923	122652
443	11953	122653
444	11979	122625
445	12010	122635
446	12034	122581
447	12062	122565
448	12088	122531
449	12115	122499
450	12141	122460
451	12165	122410
452	12191	122370
453	12218	122349
454	12247	122339
455	12276	122336
456	12306	122335
457	12330	122283
458	12356	122242
459	12380	122186
460	12408	122172
461	12433	122123
462	12457	122076
463	12488	122083
464	12516	122065
465	12539	122002
466	12567	121990
467	12592	121937
468	12614	121865
469	12643	121857
470	12670	121835
471	12697	121807
472	12724	121786
473	12752	121764
474	12776	121714
475	12803	121689
476	12831	121673
477	12857	121639
478	12884	121612
479	12913	121605
480	12943	121599
481	12969	121573
482	12996	121543
483	13024	121527
484	13050	121490
485	13077	121460
486	13100	121404
487	13128	121381
488	13153	121337
489	13178	121293
490	13204	121259
491	13231	121235
492	13261	121232
493	13286	121187
494	13312	121157
495	13337	121110
496	13362	121069
497	13388	121031
498	13411	120969
499	13435	120922
500	13463	120899
501	13491	120887
502	13520	120878
503	13542	120806
504	13567	120766
505	13597	120761
506	13626	120756
507	13651	120716
508	13677	120680
509	13704	120649
510	13730	120619
511	13759	120608
512	13786	120589
513	13812	120553
514	13839	120521
515	13862	120463
516	13885	120402
517	13911	120371
518	13938	120341
519	13966	120323
520	13988	120262
521	14015	120230
522	14042	120208
523	14068	120173
524	14094	120137
525	14124	120139
526	14152	120121
527	14178	120086
528	14205	120060
529	14232	120033
530	14259	120008
531	14285	119977
532	14309	119926
533	14335	119892
534	14359	119841
535	14389	119842
536	14419	119837
537	14446	119811
538	14469	119754
539	14494	119711
540	14522	119699
541	14549	119675
542	14575	119633
543	14601	119604
544	14630	119593
545	14656	119563
546	14683	119535
547	14709	119504
548	14736	119473
549	14762	119441
550	14789	119414
551	14820	119425
552	14846	119390
553	14872	119352
554	14897	119317
555	14924	119288
556	14953	119279
557	14980	119253
558	15007	119231
559	15035	119206
560	15065	119206
561	15090	119165
562	15119	119153
563	15145	119126
564	15168	119065
565	15194	119028
566	15217	118972
567	15243	118941
568	15265	118880
569	15293	118863
570	15318	118822
571	15341	118764
572	15369	118742
573	15396	118721
574	15422	118683
575	15448	118651
576	15475	118627
577	15503	118611
578	15527	118561
579	15553	118527
580	15579	118495
581	15606	118468
582	15632	118435
583	15654	118374
584	15675	118305
585	15701	118271
586	15729	118251
587	15754	118215
588	15783	118203
589	15811	118186
590	15837	118154
591	15861	118106
592	15889	118088
593	15914	118048
594	15939	118004
595	15966	117980
596	15992	117949
597	16018	117916
598	16047	117907
599	16072	117864
600	16098	117830
601	16123	117795
602	16149	117762
603	16176	117736
604	16203	117711
605	16231	117690
606	16257	117662
607	16284	117631
608	16311	117611
609	16338	117582
610	16366	117564
611	16391	117524
612	16423	117533
613	16449	117503
614	16475	117473
615	16520	117571
616	16567	117691
617	16591	117643
618	16615	117600
619	16640	117555
620	16663	117499
621	16691	117484
622	16717	117453
623	16745	117430
624	16774	117419
625	16801	117395
626	16826	117357
627	16853	117330
628	16876	117276
629	16904	117256
630	16932	117241
631	16957	117201
632	16985	117179
633	17008	117128
634	17035	117104
635	17062	117076
636	17090	117054
637	17117	117034
638	17145	117012
639	17171	116979
640	17197	116946
641	17225	116928
642	17251	116897
643	17278	116871
644	17302	116822
645	17327	116788
646	17353	116756
647	17378	116715
648	17408	116710
649	17434	116678
650	17463	116666
651	17489	116632
652	17515	116603
653	17541	116568
654	17567	116533
655	17595	116516
656	17623	116495
657	17649	116464
658	17677	116448
659	17704	116418
660	17733	116410
661	17760	116382
662	17787	116359
663	17816	116342
664	17843	116321
665	17872	116305
666	17900	116288
667	17925	116250
668	17951	116213
669	17977	116180
670	18001	116136
671	18030	116128
672	18058	116106
673	18085	116082
674	18115	116072
675	18140	116034
676	18165	115996
677	18190	115959
678	18215	115921
679	18239	115873
680	18268	115863
681	18294	115831
682	18323	115814
683	18364	115881
684	18400	115908
685	18441	115971
686	18490	116084
687	18540	116203
688	18591	116327
689	18638	116420
690	18688	116538
691	18724	116567
692	18765	116627
693	18803	116669
694	18833	116661
695	18871	116701
696	18909	116742
697	18946	116774
698	18985	116818
699	19021	116846
700	19052	116845
701	19085	116852
702	19113	116831
703	19150	116860
704	19174	116815
705	19202	116791
706	19229	116762
707	19259	116754
708	19283	116707
709	19310	116681
710	19339	116663
711	19365	116629
712	19393	116608
713	19423	116593
714	19450	116569
715	19477	116540
716	19502	116500
717	19531	116484
718	19558	116453
719	19588	116440
720	19615	116412
721	19640	116375
722	19668	116349
723	19696	116331
724	19722	116294
725	19748	116259
726	19776	116238
727	19802	116206
728	19832	116193
729	19860	116168
730	19884	116125
731	19914	116114
732	19942	116091
733	19966	116042
734	19994	116024
735	20028	116036
736	20052	115988
737	20079	115962
738	20105	115925
739	20128	115873
740	20155	115846
741	20182	115820
742	20210	115793
743	20236	115760
744	20261	115720
745	20283	115666
746	20312	115650
747	20342	115638
748	20373	115629
749	20400	115602
750	20426	115566
751	20451	115530
752	20476	115488
753	20504	115467
754	20531	115437
755	20558	115407
756	20583	115373
757	20608	115334
758	20636	115309
759	20661	115271
760	20691	115256
761	20717	115222
762	20743	115190
763	20773	115178
764	20799	115143
765	20823	115101
766	20852	115082
767	20879	115057
768	20907	115032
769	20933	114998
770	20960	114968
771	20983	114921
772	21011	114896
773	21035	114853
774	21062	114823
775	21104	114880
776	21148	114941
777	21175	114914
778	21201	114880
779	21227	114846
780	21251	114804
781	21275	114757
782	21301	114724
783	21330	114707
784	21358	114682
785	21382	114640
786	21405	114590
787	21430	114549
788	21455	114511
789	21479	114464
790	21508	114449
791	21535	114421
792	21562	114391
793	21586	114350
794	21614	114325
795	21644	114312
796	21674	114302
797	21703	114284
798	21728	114242
799	21755	114218
800	21779	114174
801	21804	114132
802	21835	114125
803	21861	114092
804	21890	114073
805	21916	114041
806	21942	114009
807	21969	113981
808	21994	113940
809	22019	113903
810	22049	113891
811	22075	113855
812	22099	113814
813	22127	113789
814	22155	113766
815	22185	113756
816	22210	113716
817	22237	113687
818	22262	113652
819	22289	113621
820	22316	113596
821	22345	113575
822	22368	113529
823	22397	113510
824	22421	113467
825	22449	113441
826	22478	113423
827	22506	113403
828	22534	113378
829	22562	113354
830	22591	113335
831	22620	113319
832	22648	113294
833	22672	113252
834	22703	113244
835	22731	113222
836	22757	113189
837	22783	113155
838	22809	113123
839	22836	113094
840	22864	113073
841	22892	113048
842	22917	113011
843	22944	112982
844	22971	112953
845	22995	112911
846	23023	112886
847	23047	112846
848	23076	112827
849	23102	112795
850	23128	112761
851	23154	112726
852	23178	112686
853	23204	112653
854	23232	112629
855	23256	112585
856	23281	112547
857	23307	112519
858	23334	112487
859	23357	112441
860	23379	112390
861	23407	112367
862	23430	112320
863	23452	112265
864	23478	112235
865	23506	112210
866	23533	112183
867	23560	112158
868	23593	112155
869	23619	112122
870	23648	112106
871	23676	112083
872	23701	112045
873	23726	112010
874	23754	111984
875	23782	111961
876	23810	111941
877	23836	111906
878	23863	111878
879	23890	111851
880	23918	111825
881	23942	111785
882	23970	111761
883	23996	111731
884	24021	111694
